Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
Hamrle2;5952;5952;22162;128;1.03;1864.0;1911.0;1939.0;1715.0
Hamrle2;5952;5952;22162;128;1.05;1805.0;1818.0;1893.0;1631.0
Hamrle2;5952;5952;22162;128;1.1;1687.0;1704.0;1903.0;1595.0
Hamrle2;5952;5952;22162;16;1.03;286.0;271.0;305.0;278.0
Hamrle2;5952;5952;22162;16;1.05;246.0;257.0;281.0;255.0
Hamrle2;5952;5952;22162;16;1.1;236.0;244.0;270.0;280.0
Hamrle2;5952;5952;22162;2;1.03;16.0;16.0;16.0;16.0
Hamrle2;5952;5952;22162;2;1.05;16.0;16.0;16.0;16.0
Hamrle2;5952;5952;22162;2;1.1;16.0;16.0;16.0;16.0
Hamrle2;5952;5952;22162;32;1.03;547.0;568.0;622.0;549.0
Hamrle2;5952;5952;22162;32;1.05;526.0;517.0;594.0;544.0
Hamrle2;5952;5952;22162;32;1.1;496.0;489.0;557.0;558.0
Hamrle2;5952;5952;22162;4;1.03;48.0;48.0;64.0;48.0
Hamrle2;5952;5952;22162;4;1.05;48.0;48.0;48.0;48.0
Hamrle2;5952;5952;22162;4;1.1;48.0;48.0;48.0;48.0
Hamrle2;5952;5952;22162;64;1.03;1142.0;1186.0;1247.0;1149.0
Hamrle2;5952;5952;22162;64;1.05;1127.0;1149.0;1255.0;1134.0
Hamrle2;5952;5952;22162;64;1.1;1105.0;1130.0;1214.0;1112.0
Hamrle2;5952;5952;22162;8;1.03;132.0;132.0;145.0;148.0
Hamrle2;5952;5952;22162;8;1.05;132.0;132.0;142.0;148.0
Hamrle2;5952;5952;22162;8;1.1;124.0;124.0;148.0;140.0
LeGresley_2508;2508;2508;16727;128;1.03;1000.0;998.0;1229.0;1051.0
LeGresley_2508;2508;2508;16727;128;1.05;1008.0;1008.0;1198.0;1052.0
LeGresley_2508;2508;2508;16727;128;1.1;1000.0;991.0;1193.0;1046.0
LeGresley_2508;2508;2508;16727;16;1.03;295.0;307.0;364.0;308.0
LeGresley_2508;2508;2508;16727;16;1.05;291.0;291.0;326.0;297.0
LeGresley_2508;2508;2508;16727;16;1.1;270.0;280.0;307.0;300.0
LeGresley_2508;2508;2508;16727;2;1.03;39.0;40.0;40.0;40.0
LeGresley_2508;2508;2508;16727;2;1.05;39.0;43.0;40.0;39.0
LeGresley_2508;2508;2508;16727;2;1.1;38.0;38.0;40.0;39.0
LeGresley_2508;2508;2508;16727;32;1.03;473.0;478.0;544.0;478.0
LeGresley_2508;2508;2508;16727;32;1.05;460.0;466.0;535.0;473.0
LeGresley_2508;2508;2508;16727;32;1.1;431.0;437.0;482.0;472.0
LeGresley_2508;2508;2508;16727;4;1.03;87.0;86.0;94.0;90.0
LeGresley_2508;2508;2508;16727;4;1.05;87.0;87.0;90.0;84.0
LeGresley_2508;2508;2508;16727;4;1.1;89.0;84.0;85.0;84.0
LeGresley_2508;2508;2508;16727;64;1.03;727.0;751.0;874.0;749.0
LeGresley_2508;2508;2508;16727;64;1.05;713.0;741.0;843.0;741.0
LeGresley_2508;2508;2508;16727;64;1.1;693.0;722.0;863.0;717.0
LeGresley_2508;2508;2508;16727;8;1.03;171.0;173.0;186.0;163.0
LeGresley_2508;2508;2508;16727;8;1.05;172.0;176.0;189.0;166.0
LeGresley_2508;2508;2508;16727;8;1.1;158.0;148.0;178.0;161.0
LeGresley_4908;4908;4908;30482;128;1.03;1057.0;1061.0;1231.0;1041.0
LeGresley_4908;4908;4908;30482;128;1.05;960.0;982.0;1187.0;963.0
LeGresley_4908;4908;4908;30482;128;1.1;942.0;948.0;1126.0;956.0
LeGresley_4908;4908;4908;30482;16;1.03;250.0;279.0;279.0;254.0
LeGresley_4908;4908;4908;30482;16;1.05;241.0;272.0;288.0;254.0
LeGresley_4908;4908;4908;30482;16;1.1;238.0;260.0;274.0;256.0
LeGresley_4908;4908;4908;30482;2;1.03;30.0;28.0;38.0;30.0
LeGresley_4908;4908;4908;30482;2;1.05;28.0;28.0;32.0;30.0
LeGresley_4908;4908;4908;30482;2;1.1;26.0;26.0;26.0;28.0
LeGresley_4908;4908;4908;30482;32;1.03;433.0;470.0;529.0;386.0
LeGresley_4908;4908;4908;30482;32;1.05;404.0;437.0;501.0;386.0
LeGresley_4908;4908;4908;30482;32;1.1;386.0;393.0;440.0;380.0
LeGresley_4908;4908;4908;30482;4;1.03;74.0;70.0;90.0;74.0
LeGresley_4908;4908;4908;30482;4;1.05;66.0;66.0;86.0;68.0
LeGresley_4908;4908;4908;30482;4;1.1;64.0;66.0;76.0;68.0
LeGresley_4908;4908;4908;30482;64;1.03;656.0;647.0;805.0;624.0
LeGresley_4908;4908;4908;30482;64;1.05;602.0;614.0;777.0;627.0
LeGresley_4908;4908;4908;30482;64;1.1;573.0;584.0;697.0;626.0
LeGresley_4908;4908;4908;30482;8;1.03;146.0;150.0;151.0;138.0
LeGresley_4908;4908;4908;30482;8;1.05;132.0;148.0;142.0;142.0
LeGresley_4908;4908;4908;30482;8;1.1;120.0;132.0;124.0;136.0
