Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
flickr;395979;103631;8545307;128;1.03;51635.0;52909.0;65400.0
flickr;395979;103631;8545307;128;1.05;51733.0;53077.0;65469.0
flickr;395979;103631;8545307;128;1.1;51618.0;53153.0;64816.0
flickr;395979;103631;8545307;16;1.03;49135.0;49701.0;56223.0;50341.0
flickr;395979;103631;8545307;16;1.05;49158.0;49747.0;56239.0;50266.0
flickr;395979;103631;8545307;16;1.1;49367.0;50118.0;55355.0;49957.0
flickr;395979;103631;8545307;2;1.03;33631.0;35456.0;37373.0;23698.0
flickr;395979;103631;8545307;2;1.05;32379.0;34142.0;36693.0;22914.0
flickr;395979;103631;8545307;2;1.1;29626.0;31094.0;35512.0;21298.0
flickr;395979;103631;8545307;32;1.03;50284.0;51216.0;60851.0;51080.0
flickr;395979;103631;8545307;32;1.05;50341.0;51006.0;61131.0;50886.0
flickr;395979;103631;8545307;32;1.1;50352.0;51226.0;61102.0;50905.0
flickr;395979;103631;8545307;4;1.03;37568.0;38660.0;47964.0;46583.0
flickr;395979;103631;8545307;4;1.05;37360.0;38179.0;48945.0;46473.0
flickr;395979;103631;8545307;4;1.1;36818.0;37396.0;48193.0;45246.0
flickr;395979;103631;8545307;64;1.03;51046.0;52402.0;63441.0;51534.0
flickr;395979;103631;8545307;64;1.05;51017.0;52503.0;62854.0;51463.0
flickr;395979;103631;8545307;64;1.1;51247.0;52615.0;62872.0;51449.0
flickr;395979;103631;8545307;8;1.03;46788.0;47518.0;53083.0;49116.0
flickr;395979;103631;8545307;8;1.05;46859.0;47551.0;51646.0;49093.0
flickr;395979;103631;8545307;8;1.1;46783.0;47653.0;51955.0;48885.0
release-flickr-links_x0_10;18612;18611;290170;128;1.03;18257.0;18366.0;18612.0;18611.0
release-flickr-links_x0_10;18612;18611;290170;128;1.05;18238.0;18346.0;18612.0;18611.0
release-flickr-links_x0_10;18612;18611;290170;128;1.1;18215.0;18338.0;18612.0;18611.0
