Graph name;|V|;|E|;|pins|;Number of parts;Imbalance;alg_dist;zoltan;patoh;hmetis
Oregon-1;11492;11174;46818;128;1.03;3125.0;3066.0;3152.0;3069.0
Oregon-1;11492;11174;46818;128;1.05;2782.0;2783.0;3160.0;3066.0
Oregon-1;11492;11174;46818;128;1.1;2736.0;2743.0;3149.0;3033.0
Oregon-1;11492;11174;46818;16;1.03;1426.0;1455.0;1707.0;1742.0
Oregon-1;11492;11174;46818;16;1.05;1435.0;1444.0;1675.0;1691.0
Oregon-1;11492;11174;46818;16;1.1;1375.0;1425.0;1685.0;1682.0
Oregon-1;11492;11174;46818;2;1.03;340.0;356.0;726.0;209.0
Oregon-1;11492;11174;46818;2;1.05;336.0;354.0;710.0;203.0
Oregon-1;11492;11174;46818;2;1.1;266.0;306.0;714.0;179.0
Oregon-1;11492;11174;46818;32;1.03;1949.0;1979.0;2162.0;2138.0
Oregon-1;11492;11174;46818;32;1.05;1936.0;1950.0;2183.0;2155.0
Oregon-1;11492;11174;46818;32;1.1;1898.0;1905.0;2131.0;2154.0
Oregon-1;11492;11174;46818;4;1.03;752.0;654.0;1167.0;905.0
Oregon-1;11492;11174;46818;4;1.05;677.0;599.0;1159.0;881.0
Oregon-1;11492;11174;46818;4;1.1;605.0;630.0;1145.0;864.0
Oregon-1;11492;11174;46818;64;1.03;2811.0;2885.0;2651.0;2614.0
Oregon-1;11492;11174;46818;64;1.05;2341.0;2378.0;2616.0;2598.0
Oregon-1;11492;11174;46818;64;1.1;2293.0;2320.0;2630.0;2589.0
Oregon-1;11492;11174;46818;8;1.03;1066.0;1107.0;1431.0;1255.0
Oregon-1;11492;11174;46818;8;1.05;1036.0;1106.0;1281.0;1233.0
Oregon-1;11492;11174;46818;8;1.1;1026.0;1049.0;1336.0;1184.0
Oregon-2;11806;11461;65460;128;1.03;3640.0;3608.0;3756.0;3618.0
Oregon-2;11806;11461;65460;128;1.05;3303.0;3489.0;3729.0;3588.0
Oregon-2;11806;11461;65460;128;1.1;3607.0;3612.0;3680.0;3572.0
Oregon-2;11806;11461;65460;16;1.03;1765.0;1800.0;2112.0;2186.0
Oregon-2;11806;11461;65460;16;1.05;1768.0;1803.0;2230.0;2179.0
Oregon-2;11806;11461;65460;16;1.1;1720.0;1749.0;2163.0;2146.0
Oregon-2;11806;11461;65460;2;1.03;573.0;567.0;810.0;338.0
Oregon-2;11806;11461;65460;2;1.05;445.0;559.0;808.0;295.0
Oregon-2;11806;11461;65460;2;1.1;382.0;442.0;801.0;245.0
Oregon-2;11806;11461;65460;32;1.03;2330.0;2380.0;2752.0;2640.0
Oregon-2;11806;11461;65460;32;1.05;2354.0;2325.0;2677.0;2614.0
Oregon-2;11806;11461;65460;32;1.1;2329.0;2347.0;2683.0;2571.0
Oregon-2;11806;11461;65460;4;1.03;859.0;884.0;1306.0;1029.0
Oregon-2;11806;11461;65460;4;1.05;844.0;874.0;1376.0;1032.0
Oregon-2;11806;11461;65460;4;1.1;834.0;878.0;1325.0;985.0
Oregon-2;11806;11461;65460;64;1.03;2800.0;2860.0;3277.0;3115.0
Oregon-2;11806;11461;65460;64;1.05;2805.0;2725.0;3169.0;3090.0
Oregon-2;11806;11461;65460;64;1.1;2786.0;3186.0;3116.0;3053.0
Oregon-2;11806;11461;65460;8;1.03;1265.0;1297.0;1910.0;1534.0
Oregon-2;11806;11461;65460;8;1.05;1267.0;1308.0;1726.0;1502.0
Oregon-2;11806;11461;65460;8;1.1;1227.0;1310.0;1726.0;1477.0
amazon0302;262111;257570;1234877;128;1.03;60075.0;60973.0;67269.0;57574.0
amazon0302;262111;257570;1234877;128;1.05;59625.0;60693.0;66369.0;57565.0
amazon0302;262111;257570;1234877;128;1.1;59217.0;60174.0;66324.0;56773.0
amazon0302;262111;257570;1234877;16;1.03;35777.0;35944.0;38665.0;34651.0
amazon0302;262111;257570;1234877;16;1.05;35684.0;35568.0;39638.0;34241.0
amazon0302;262111;257570;1234877;16;1.1;34708.0;35114.0;38332.0;34009.0
amazon0302;262111;257570;1234877;2;1.03;9640.0;9570.0;9850.0;9509.0
amazon0302;262111;257570;1234877;2;1.05;9374.0;9261.0;9168.0;9298.0
amazon0302;262111;257570;1234877;2;1.1;8569.0;8618.0;8522.0;9013.0
amazon0302;262111;257570;1234877;32;1.03;43853.0;44514.0;48840.0;42129.0
amazon0302;262111;257570;1234877;32;1.05;43585.0;44133.0;48327.0;41670.0
amazon0302;262111;257570;1234877;32;1.1;43067.0;43834.0;47409.0;41615.0
amazon0302;262111;257570;1234877;4;1.03;19047.0;19286.0;20254.0;18301.0
amazon0302;262111;257570;1234877;4;1.05;18714.0;19215.0;20142.0;18248.0
amazon0302;262111;257570;1234877;4;1.1;18674.0;18650.0;19541.0;18166.0
amazon0302;262111;257570;1234877;64;1.03;51799.0;52440.0;57853.0;49829.0
amazon0302;262111;257570;1234877;64;1.05;51659.0;52471.0;57570.0;49494.0
amazon0302;262111;257570;1234877;64;1.1;51015.0;51719.0;56936.0;49344.0
amazon0302;262111;257570;1234877;8;1.03;27983.0;28515.0;30383.0;27036.0
amazon0302;262111;257570;1234877;8;1.05;28121.0;27956.0;30630.0;26843.0
amazon0302;262111;257570;1234877;8;1.1;27029.0;27285.0;29769.0;26352.0
amazon0312;400727;388374;3200440;128;1.03;145157.0;145286.0;162134.0;142875.0
amazon0312;400727;388374;3200440;128;1.05;144664.0;145606.0;161025.0;142493.0
amazon0312;400727;388374;3200440;128;1.1;143497.0;144601.0;160076.0;141421.0
amazon0312;400727;388374;3200440;16;1.03;91819.0;92247.0;103690.0;90614.0
amazon0312;400727;388374;3200440;16;1.05;90943.0;91416.0;102222.0;89338.0
amazon0312;400727;388374;3200440;16;1.1;89768.0;90167.0;99917.0;87985.0
amazon0312;400727;388374;3200440;2;1.03;28211.0;28002.0;33233.0;28821.0
amazon0312;400727;388374;3200440;2;1.05;27484.0;27173.0;32415.0;28111.0
amazon0312;400727;388374;3200440;2;1.1;25287.0;25238.0;27520.0;26616.0
amazon0312;400727;388374;3200440;32;1.03;110659.0;111063.0;121953.0;108166.0
amazon0312;400727;388374;3200440;32;1.05;110302.0;110940.0;122788.0;108028.0
amazon0312;400727;388374;3200440;32;1.1;108937.0;109321.0;122840.0;106913.0
amazon0312;400727;388374;3200440;4;1.03;54329.0;54752.0;60262.0;53178.0
amazon0312;400727;388374;3200440;4;1.05;53862.0;53573.0;58306.0;52818.0
amazon0312;400727;388374;3200440;4;1.1;50454.0;51734.0;59068.0;51479.0
amazon0312;400727;388374;3200440;64;1.03;127416.0;128679.0;141541.0;125040.0
amazon0312;400727;388374;3200440;64;1.05;126740.0;128299.0;142835.0;124077.0
amazon0312;400727;388374;3200440;64;1.1;126327.0;126597.0;140653.0;123729.0
amazon0312;400727;388374;3200440;8;1.03;73285.0;73239.0;86232.0;72882.0
amazon0312;400727;388374;3200440;8;1.05;73535.0;74789.0;79060.0;72439.0
amazon0312;400727;388374;3200440;8;1.1;71690.0;71736.0;78614.0;71082.0
amazon0505;410236;396803;3356824;128;1.03;150199.0;150521.0;168617.0;147142.0
amazon0505;410236;396803;3356824;128;1.05;149638.0;150914.0;167719.0;147066.0
amazon0505;410236;396803;3356824;128;1.1;148709.0;150000.0;165793.0;146194.0
amazon0505;410236;396803;3356824;16;1.03;94524.0;95160.0;104414.0;92784.0
amazon0505;410236;396803;3356824;16;1.05;93790.0;93208.0;105490.0;92297.0
amazon0505;410236;396803;3356824;16;1.1;91591.0;92583.0;102970.0;91634.0
amazon0505;410236;396803;3356824;2;1.03;28381.0;28064.0;30428.0;28372.0
amazon0505;410236;396803;3356824;2;1.05;27357.0;27307.0;27562.0;28109.0
amazon0505;410236;396803;3356824;2;1.1;25626.0;25603.0;25918.0;26152.0
amazon0505;410236;396803;3356824;32;1.03;114647.0;114906.0;129059.0;111908.0
amazon0505;410236;396803;3356824;32;1.05;114102.0;114405.0;127177.0;111697.0
amazon0505;410236;396803;3356824;32;1.1;112469.0;113188.0;126201.0;110192.0
amazon0505;410236;396803;3356824;4;1.03;55269.0;55572.0;56744.0;54267.0
amazon0505;410236;396803;3356824;4;1.05;54646.0;54400.0;59238.0;53429.0
amazon0505;410236;396803;3356824;4;1.1;53421.0;52102.0;56436.0;51880.0
amazon0505;410236;396803;3356824;64;1.03;132617.0;133046.0;148607.0;129291.0
amazon0505;410236;396803;3356824;64;1.05;132079.0;132788.0;145966.0;128847.0
amazon0505;410236;396803;3356824;64;1.1;130840.0;131781.0;146232.0;128290.0
amazon0505;410236;396803;3356824;8;1.03;76220.0;76979.0;84193.0;74725.0
amazon0505;410236;396803;3356824;8;1.05;74921.0;75377.0;80024.0;73496.0
amazon0505;410236;396803;3356824;8;1.1;73219.0;73274.0;79943.0;72811.0
amazon0601;403394;402439;3387388;128;1.03;151186.0;152079.0;170104.0;149689.0
amazon0601;403394;402439;3387388;128;1.05;151247.0;151421.0;168918.0;148519.0
amazon0601;403394;402439;3387388;128;1.1;150025.0;151347.0;169121.0;147926.0
amazon0601;403394;402439;3387388;16;1.03;94934.0;96117.0;107209.0;94599.0
amazon0601;403394;402439;3387388;16;1.05;95054.0;94749.0;106533.0;92456.0
amazon0601;403394;402439;3387388;16;1.1;92879.0;93395.0;104007.0;92663.0
amazon0601;403394;402439;3387388;2;1.03;28199.0;28247.0;27993.0;28791.0
amazon0601;403394;402439;3387388;2;1.05;27439.0;27326.0;27189.0;28170.0
amazon0601;403394;402439;3387388;2;1.1;25637.0;25649.0;25755.0;26039.0
amazon0601;403394;402439;3387388;32;1.03;115846.0;116914.0;131773.0;113549.0
amazon0601;403394;402439;3387388;32;1.05;114333.0;115504.0;128912.0;112353.0
amazon0601;403394;402439;3387388;32;1.1;113981.0;114589.0;128585.0;111466.0
amazon0601;403394;402439;3387388;4;1.03;55472.0;55715.0;62367.0;54853.0
amazon0601;403394;402439;3387388;4;1.05;54695.0;54856.0;56549.0;54085.0
amazon0601;403394;402439;3387388;4;1.1;53320.0;53583.0;55237.0;52764.0
amazon0601;403394;402439;3387388;64;1.03;134085.0;133887.0;149230.0;130773.0
amazon0601;403394;402439;3387388;64;1.05;133225.0;133867.0;148313.0;129948.0
amazon0601;403394;402439;3387388;64;1.1;131904.0;132542.0;147333.0;129708.0
amazon0601;403394;402439;3387388;8;1.03;75805.0;76556.0;87095.0;74929.0
amazon0601;403394;402439;3387388;8;1.05;75464.0;75626.0;80356.0;74138.0
amazon0601;403394;402439;3387388;8;1.1;73751.0;73375.0;80699.0;74235.0
as-735;7716;6474;27790;128;1.03;2002.0;2013.0;2215.0;2250.0
as-735;7716;6474;27790;128;1.05;2012.0;1982.0;2204.0;2212.0
as-735;7716;6474;27790;128;1.1;2000.0;2023.0;2263.0;2211.0
as-735;7716;6474;27790;16;1.03;1209.0;1234.0;1370.0;1482.0
as-735;7716;6474;27790;16;1.05;1204.0;1224.0;1390.0;1463.0
as-735;7716;6474;27790;16;1.1;1177.0;1178.0;1356.0;1437.0
as-735;7716;6474;27790;2;1.03;339.0;349.0;369.0;328.0
as-735;7716;6474;27790;2;1.05;342.0;361.0;386.0;328.0
as-735;7716;6474;27790;2;1.1;337.0;359.0;355.0;318.0
as-735;7716;6474;27790;32;1.03;1548.0;1556.0;1703.0;1713.0
as-735;7716;6474;27790;32;1.05;1546.0;1538.0;1685.0;1712.0
as-735;7716;6474;27790;32;1.1;1517.0;1525.0;1666.0;1703.0
as-735;7716;6474;27790;4;1.03;457.0;479.0;683.0;562.0
as-735;7716;6474;27790;4;1.05;445.0;446.0;701.0;553.0
as-735;7716;6474;27790;4;1.1;429.0;445.0;648.0;540.0
as-735;7716;6474;27790;64;1.03;1749.0;1757.0;1958.0;1954.0
as-735;7716;6474;27790;64;1.05;1758.0;1767.0;1931.0;1947.0
as-735;7716;6474;27790;64;1.1;1738.0;1752.0;1948.0;1927.0
as-735;7716;6474;27790;8;1.03;747.0;752.0;1028.0;1010.0
as-735;7716;6474;27790;8;1.05;738.0;740.0;891.0;983.0
as-735;7716;6474;27790;8;1.1;704.0;703.0;918.0;974.0
as-caida;31379;26475;106762;128;1.03;5745.0;6369.0;7008.0;6549.0
as-caida;31379;26475;106762;128;1.05;5717.0;5798.0;6820.0;6542.0
as-caida;31379;26475;106762;128;1.1;5672.0;6408.0;6926.0;6513.0
as-caida;31379;26475;106762;16;1.03;3337.0;3056.0;3890.0;4114.0
as-caida;31379;26475;106762;16;1.05;2961.0;3035.0;3474.0;4097.0
as-caida;31379;26475;106762;16;1.1;3312.0;2889.0;3383.0;4047.0
as-caida;31379;26475;106762;2;1.03;355.0;390.0;732.0;318.0
as-caida;31379;26475;106762;2;1.05;313.0;387.0;665.0;306.0
as-caida;31379;26475;106762;2;1.1;254.0;336.0;597.0;268.0
as-caida;31379;26475;106762;32;1.03;4046.0;4072.0;4415.0;4979.0
as-caida;31379;26475;106762;32;1.05;4024.0;4084.0;4633.0;4941.0
as-caida;31379;26475;106762;32;1.1;3940.0;4069.0;4584.0;4832.0
as-caida;31379;26475;106762;4;1.03;975.0;1047.0;1940.0;1992.0
as-caida;31379;26475;106762;4;1.05;984.0;992.0;1960.0;1911.0
as-caida;31379;26475;106762;4;1.1;929.0;1001.0;1850.0;1921.0
as-caida;31379;26475;106762;64;1.03;4830.0;4858.0;5316.0;5801.0
as-caida;31379;26475;106762;64;1.05;6185.0;4946.0;5313.0;5808.0
as-caida;31379;26475;106762;64;1.1;4718.0;4791.0;5284.0;5721.0
as-caida;31379;26475;106762;8;1.03;1967.0;1969.0;2529.0;3285.0
as-caida;31379;26475;106762;8;1.05;1925.0;1839.0;2657.0;3292.0
as-caida;31379;26475;106762;8;1.1;1911.0;1782.0;3396.0;3223.0
ca-AstroPh;18772;18772;396220;128;1.03;10893.0;11035.0;13598.0;11993.0
ca-AstroPh;18772;18772;396220;128;1.05;10924.0;11015.0;13630.0;11923.0
ca-AstroPh;18772;18772;396220;128;1.1;10846.0;11013.0;13503.0;11802.0
ca-AstroPh;18772;18772;396220;16;1.03;9855.0;10023.0;12032.0;10222.0
ca-AstroPh;18772;18772;396220;16;1.05;9869.0;10001.0;11837.0;10183.0
ca-AstroPh;18772;18772;396220;16;1.1;9875.0;10039.0;11969.0;10116.0
ca-AstroPh;18772;18772;396220;2;1.03;6622.0;6584.0;6805.0;6889.0
ca-AstroPh;18772;18772;396220;2;1.05;6543.0;6496.0;6741.0;6914.0
ca-AstroPh;18772;18772;396220;2;1.1;6172.0;6152.0;7040.0;6805.0
ca-AstroPh;18772;18772;396220;32;1.03;10175.0;10379.0;12778.0;10820.0
ca-AstroPh;18772;18772;396220;32;1.05;10238.0;10340.0;12722.0;10870.0
